locus_id,locus_name,locus_type,token,building,floor,zone,scale,dwell_category,sward_ids,sward_count,function,hazard_level,hazard_grade,tags,description,congestion_prone,sector_id,gateway_no,gateway_name,building_no,floor_no,location_x,location_y,locus_version
GW-300,fab_4F_X17Y07,WORK_AREA,work_area,FAB,4F,,POINT,SHORT_STAY,GW-300,1,WORK,medium,2.0,,,False,Y1_SKHynix,300,fab_4F_X17Y07,2.0,7.0,193.0,66.0,v2
GW-287,fab_1F_X10Y06,WORK_AREA,work_area,FAB,1F,,POINT,SHORT_STAY,GW-287,1,WORK,medium,2.0,,,False,Y1_SKHynix,287,fab_1F_X10Y06,2.0,4.0,109.0,53.0,v2
GW-331,fab_5F_X15Y06,WORK_AREA,work_area,FAB,5F,,POINT,SHORT_STAY,GW-331,1,WORK,medium,2.0,,,False,Y1_SKHynix,331,fab_5F_X15Y06,2.0,22.0,169.0,52.0,v2
GW-325,fab_5F_X26Y05,WORK_AREA,work_area,FAB,5F,,POINT,SHORT_STAY,GW-325,1,WORK,medium,2.0,,,False,Y1_SKHynix,325,fab_5F_X26Y05,2.0,22.0,299.0,37.0,v2
GW-193,fab_1F_X20Y12,WORK_AREA,work_area,FAB,1F,,POINT,SHORT_STAY,GW-193,1,WORK,medium,2.0,,,False,Y1_SKHynix,193,fab_1F_X20Y12,2.0,4.0,228.0,143.0,v2
GW-295,fab_1F_X03Y06,WORK_AREA,work_area,FAB,1F,,POINT,SHORT_STAY,GW-295,1,WORK,medium,2.0,,,False,Y1_SKHynix,295,fab_1F_X03Y06,2.0,4.0,27.0,51.0,v2
GW-312,fab_3F_X11Y03,WORK_AREA,work_area,FAB,3F,,POINT,SHORT_STAY,GW-312,1,WORK,medium,2.0,,,False,Y1_SKHynix,312,fab_3F_X11Y03,2.0,21.0,119.0,21.0,v2
GW-329,fab_2F_X07Y16_망실,WORK_AREA,work_area,FAB,2F,,POINT,SHORT_STAY,GW-329,1,WORK,medium,2.0,,,False,Y1_SKHynix,329,fab_2F_X07Y16_망실,2.0,20.0,71.0,179.0,v2
GW-186,fab_1F_X28Y12,WORK_AREA,work_area,FAB,1F,,POINT,SHORT_STAY,GW-186,1,WORK,medium,2.0,,,False,Y1_SKHynix,186,fab_1F_X28Y12,2.0,4.0,323.0,143.0,v2
GW-288,fab_4F_X20Y09,WORK_AREA,work_area,FAB,4F,,POINT,SHORT_STAY,GW-288,1,WORK,medium,2.0,,,False,Y1_SKHynix,288,fab_4F_X20Y09,2.0,7.0,229.0,95.0,v2
